county_name,cong_dist_lbl,age_range,party_cd,race_desc,ethnic_cd,sex_cd,total_voters,stat_dt
ALAMANCE,2,Age 18 - 25,DEM,WHITE,NL,M,11,9/27/2012
ALAMANCE,2,Age 18 - 25,REP,WHITE,UN,U,1,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,WHITE,NL,M,27,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,BLACK or AFRICAN AMERICAN,HL,F,1,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,BLACK or AFRICAN AMERICAN,UN,F,8,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,TWO or MORE RACES,HL,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,UNDESIGNATED,HL,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,LIB,WHITE,NL,F,1,9/27/2012
ALAMANCE,2,Age 26 - 40,REP,BLACK or AFRICAN AMERICAN,NL,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,REP,UNDESIGNATED,UN,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,REP,WHITE,UN,M,26,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,WHITE,UN,U,2,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,WHITE,NL,U,1,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,ASIAN,UN,M,1,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,WHITE,NL,F,142,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,WHITE,UN,M,20,9/27/2012
ALAMANCE,2,Age Over 66,DEM,BLACK or AFRICAN AMERICAN,UN,U,1,9/27/2012
ALAMANCE,2,Age Over 66,UNA,WHITE,NL,F,30,9/27/2012
ALAMANCE,2,Age  < 18 Or Invalid Birth Dates,REP,WHITE,NL,F,1,9/27/2012
ALAMANCE,2,Age 18 - 25,REP,TWO or MORE RACES,HL,M,1,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,BLACK or AFRICAN AMERICAN,NL,M,5,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,UNDESIGNATED,UN,U,2,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,WHITE,UN,M,6,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,ASIAN,UN,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,TWO or MORE RACES,UN,M,1,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,WHITE,NL,F,156,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,UNDESIGNATED,UN,M,3,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,BLACK or AFRICAN AMERICAN,NL,F,2,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,INDIAN AMERICAN or ALASKA NATIVE,NL,F,1,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,OTHER,NL,M,1,9/27/2012
ALAMANCE,2,Age Over 66,DEM,TWO or MORE RACES,UN,U,1,9/27/2012
ALAMANCE,2,Age 18 - 25,DEM,BLACK or AFRICAN AMERICAN,UN,F,1,9/27/2012
ALAMANCE,2,Age 18 - 25,DEM,UNDESIGNATED,HL,F,2,9/27/2012
ALAMANCE,2,Age 18 - 25,DEM,WHITE,UN,F,4,9/27/2012
ALAMANCE,2,Age 18 - 25,REP,UNDESIGNATED,UN,U,2,9/27/2012
ALAMANCE,2,Age 18 - 25,REP,WHITE,NL,F,35,9/27/2012
ALAMANCE,2,Age 18 - 25,REP,WHITE,UN,M,11,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,OTHER,UN,F,1,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,INDIAN AMERICAN or ALASKA NATIVE,NL,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,UNDESIGNATED,UN,U,1,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,WHITE,UN,M,5,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,BLACK or AFRICAN AMERICAN,NL,M,2,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,UNDESIGNATED,NL,M,2,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,WHITE,NL,F,116,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,WHITE,UN,F,17,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,BLACK or AFRICAN AMERICAN,UN,F,8,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,UNDESIGNATED,HL,F,2,9/27/2012
ALAMANCE,2,Age 41 - 65,LIB,WHITE,NL,M,2,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,TWO or MORE RACES,NL,M,1,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,WHITE,NL,F,315,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,WHITE,UN,M,33,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,OTHER,HL,M,1,9/27/2012
ALAMANCE,2,Age Over 66,DEM,WHITE,UN,F,7,9/27/2012
ALAMANCE,2,Age Over 66,REP,UNDESIGNATED,NL,M,1,9/27/2012
ALAMANCE,2,Age Over 66,REP,WHITE,NL,F,120,9/27/2012
ALAMANCE,2,Age 18 - 25,DEM,BLACK or AFRICAN AMERICAN,NL,M,9,9/27/2012
ALAMANCE,2,Age 18 - 25,DEM,OTHER,NL,M,1,9/27/2012
ALAMANCE,2,Age 18 - 25,REP,BLACK or AFRICAN AMERICAN,NL,F,1,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,WHITE,HL,F,1,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,BLACK or AFRICAN AMERICAN,NL,F,9,9/27/2012
ALAMANCE,2,Age 26 - 40,REP,TWO or MORE RACES,UN,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,REP,WHITE,NL,M,134,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,UNDESIGNATED,UN,M,2,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,BLACK or AFRICAN AMERICAN,NL,M,31,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,WHITE,UN,M,13,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,BLACK or AFRICAN AMERICAN,NL,F,1,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,BLACK or AFRICAN AMERICAN,UN,M,2,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,UNDESIGNATED,UN,M,7,9/27/2012
ALAMANCE,2,Age Over 66,DEM,TWO or MORE RACES,UN,F,1,9/27/2012
ALAMANCE,2,Age Over 66,DEM,WHITE,NL,F,103,9/27/2012
ALAMANCE,2,Age Over 66,LIB,WHITE,UN,F,1,9/27/2012
ALAMANCE,2,Age Over 66,UNA,BLACK or AFRICAN AMERICAN,NL,F,2,9/27/2012
ALAMANCE,2,Age 18 - 25,REP,UNDESIGNATED,HL,F,1,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,WHITE,NL,F,28,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,OTHER,UN,F,1,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,UNDESIGNATED,UN,F,2,9/27/2012
ALAMANCE,2,Age 26 - 40,LIB,WHITE,NL,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,LIB,WHITE,UN,F,1,9/27/2012
ALAMANCE,2,Age 26 - 40,REP,WHITE,UN,F,24,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,UNDESIGNATED,UN,F,2,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,BLACK or AFRICAN AMERICAN,NL,U,1,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,UNDESIGNATED,UN,U,3,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,WHITE,NL,M,144,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,BLACK or AFRICAN AMERICAN,UN,F,1,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,WHITE,UN,U,1,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,WHITE,NL,M,120,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,WHITE,UN,F,19,9/27/2012
ALAMANCE,2,Age Over 66,DEM,WHITE,NL,M,65,9/27/2012
ALAMANCE,2,Age Over 66,UNA,WHITE,NL,M,29,9/27/2012
ALAMANCE,2,Age  < 18 Or Invalid Birth Dates,REP,WHITE,NL,M,1,9/27/2012
ALAMANCE,2,Age 18 - 25,DEM,WHITE,NL,F,17,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,BLACK or AFRICAN AMERICAN,NL,F,2,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,WHITE,UN,F,8,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,BLACK or AFRICAN AMERICAN,UN,M,3,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,TWO or MORE RACES,NL,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,WHITE,NL,F,54,9/27/2012
ALAMANCE,2,Age 26 - 40,REP,WHITE,NL,U,1,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,UNDESIGNATED,UN,U,2,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,WHITE,NL,M,82,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,INDIAN AMERICAN or ALASKA NATIVE,UN,F,1,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,UNDESIGNATED,UN,F,2,9/27/2012
ALAMANCE,2,Age 41 - 65,REP,WHITE,HL,F,1,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,BLACK or AFRICAN AMERICAN,NL,M,6,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,OTHER,NL,F,1,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,UNDESIGNATED,HL,M,1,9/27/2012
ALAMANCE,2,Age 41 - 65,UNA,UNDESIGNATED,UN,U,7,9/27/2012
ALAMANCE,2,Age Over 66,DEM,BLACK or AFRICAN AMERICAN,NL,M,19,9/27/2012
ALAMANCE,2,Age Over 66,DEM,WHITE,UN,M,8,9/27/2012
ALAMANCE,2,Age Over 66,REP,WHITE,UN,F,10,9/27/2012
ALAMANCE,2,Age 18 - 25,DEM,BLACK or AFRICAN AMERICAN,NL,F,9,9/27/2012
ALAMANCE,2,Age 18 - 25,DEM,BLACK or AFRICAN AMERICAN,UN,M,5,9/27/2012
ALAMANCE,2,Age 18 - 25,REP,WHITE,NL,M,36,9/27/2012
ALAMANCE,2,Age 18 - 25,UNA,TWO or MORE RACES,UN,M,1,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,BLACK or AFRICAN AMERICAN,NL,M,7,9/27/2012
ALAMANCE,2,Age 26 - 40,DEM,WHITE,NL,M,19,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,BLACK or AFRICAN AMERICAN,NL,F,2,9/27/2012
ALAMANCE,2,Age 26 - 40,UNA,WHITE,UN,M,20,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,BLACK or AFRICAN AMERICAN,HL,M,1,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,BLACK or AFRICAN AMERICAN,NL,F,47,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,BLACK or AFRICAN AMERICAN,UN,M,6,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,OTHER,NL,F,1,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,TWO or MORE RACES,NL,F,1,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,UNDESIGNATED,HL,M,1,9/27/2012
ALAMANCE,2,Age 41 - 65,DEM,UNDESIGNATED,UN,M,2,9/27/2012
